ticker,market_cap
NVDA,5316751576950.073
AMD,733101735316.5721
AVGO,1962851423718.6255
TSM,2111672857444.275
ASML,613584922680.0
AMAT,339157101135.97546
LRCX,377962895147.7051
KLAC,240639413651.90662
MU,859446092734.5304
MRVL,166959236696.951
SMCI,20123461857.104935
MSFT,3113182672895.6196
GOOGL,4696673125107.722
AMZN,2887853507269.9004
META,1541787558778.165
ORCL,545787261707.7942
CRM,144231053607.43848
NOW,102811097037.8418
ADBE,98665222467.04102
IBM,237762780428.9209
SNOW,57376644222.05406
AAPL,4479496563008.789
CSCO,465877565374.696
INTC,595581000000.0
TXN,271562601237.92737
QCOM,224934143859.86328
INTU,83995008593.44482
ACN,109467448726.27551
PANW,205118118515.01465
CDNS,98869001003.17383
ADSK,50714978353.181335
KO,349232489990.9794
PEP,203469171132.24554
PG,333921079232.55975
WMT,967199959899.4609
JNJ,557824378405.0895
MRK,286203246426.62463
MCD,201911549806.71967
COST,466034788980.2783
CL,72369123149.98718
GIS,17862311017.92633
