n,beta1,se_hc1,p_hc1,ci_low,ci_high,r2,variant,excluded,model
41,0.2594243826398249,0.12895270872219045,0.044243213033189566,0.006677073544331669,0.5121716917353182,0.09449874302342043,full,,M1
41,0.012778418091398035,0.11166082196278945,0.9088893360565089,-0.20607679295566927,0.23163362913846536,0.4473193558987485,full,,M3
40,0.1724228193758759,0.1026562888890005,0.09303267077270555,-0.028783506846565082,0.37362914559831684,0.048025841892709864,no_nvda,NVDA,M1
40,-0.035937805274380764,0.10079594884866173,0.7214360706528428,-0.23349786501775777,0.16162225446899625,0.42264902293194984,no_nvda,NVDA,M3
40,0.1724228193758759,0.1026562888890005,0.09303267077270555,-0.028783506846565082,0.37362914559831684,0.048025841892709864,no_top1_ai,NVDA,M1
40,-0.035937805274380764,0.10079594884866173,0.7214360706528428,-0.23349786501775777,0.16162225446899625,0.42264902293194984,no_top1_ai,NVDA,M3
38,0.2503533998661171,0.09920795148885013,0.011618595124304317,0.05590581494797084,0.44480098478426333,0.09094798009296035,no_top3_ai,"NVDA,IBM,PANW",M1
38,0.05932384743727447,0.13048486074392937,0.6493670928808826,-0.1964264796208271,0.31507417449537606,0.4203816886769506,no_top3_ai,"NVDA,IBM,PANW",M3
38,0.18113901151935913,0.08437689592429971,0.03181044264169101,0.015760295507731698,0.34651772753098653,0.10998517500216587,no_top3_ar,"SMCI,NVDA,META",M1
38,0.005269670285198591,0.08188392514144503,0.948687266040496,-0.15522282299203366,0.16576216356243084,0.4940400254494267,no_top3_ar,"SMCI,NVDA,META",M3
38,0.2884824224192841,0.12381268951655439,0.019806639538414043,0.04580955096683753,0.5311552938717308,0.11807233884467572,no_bottom3_ar,"JNJ,IBM,KO",M1
38,0.08169562930229426,0.12201740333962867,0.5031505662450004,-0.1574584812433779,0.32084973984796644,0.39977913759716144,no_bottom3_ar,"JNJ,IBM,KO",M3
