month,AI_infra_AR,Defensive_AR
2022-12-31,-0.05429769891464113,0.0325707507578977
2023-01-31,0.07156143917049956,-0.0836424443032164
2023-02-28,0.061404961944714384,0.00627692147257845
2023-03-31,0.048555188580398916,0.006010263825754564
2023-04-30,-0.05618690923091225,0.03157996434446898
2023-05-31,0.25036292078363664,-0.05127976943308832
2023-06-30,-0.022037468664506385,-0.02973260147327267
2023-07-31,0.042338955216979474,-0.0295025718888658
2023-08-31,-0.027559351499905262,-0.01066065432930341
2023-09-30,-0.027897177245926177,0.009256118464631556
2023-10-31,-0.01946231644041858,0.025939196373033775
2023-11-30,0.05767507894614088,-0.059876372377206846
2023-12-31,0.054260779856904515,-0.01611201433380937
2024-01-31,0.11641079380059502,0.018794985159551594
2024-02-29,0.11168111680713129,-0.027378661080843025
2024-03-31,0.02792226959038823,-0.008901451623155143
2024-04-30,-0.0224685261102978,0.03119299058132424
2024-05-31,0.02147212994297365,-0.03373454430613501
2024-06-30,0.04802364787478823,-0.03481401118209405
2024-07-31,-0.09673541734900536,0.005849250629624289
2024-08-31,-0.07791832168992242,0.04524695163793311
2024-09-30,-0.016675051922304764,-0.017444171591909384
2024-10-31,-0.06534930888899333,-0.04010919977518049
2024-11-30,-0.04805189879501538,-0.030822736615584063
2024-12-31,0.03552379606337341,-0.019331158836739748
2025-01-31,0.004102832900076507,-0.01590051192895956
2025-02-28,-0.026336671117759287,0.05250035892912924
2025-03-31,-0.058661618643371286,0.035393830993302594
2025-04-30,0.0011412483157754961,-0.0029988359557181297
2025-05-31,0.07742646233654188,-0.06956816472219494
2025-06-30,0.13310789919056226,-0.07314189152882025
2025-07-31,0.010395234013800134,-0.035575465402051226
2025-08-31,-0.07843250354059494,0.013568349381957393
2025-09-30,0.16038586782313416,-0.04098993756753648
2025-10-31,0.13159555559310432,-0.027681656040350597
2025-11-30,-0.057971828374064505,0.05315913192793415
2025-12-31,0.006359309830988483,-0.018934745699142084
2026-01-31,0.1166355098959568,0.05273994302780907
2026-02-28,0.028254592864906093,0.08741940499615594
2026-03-31,-0.02133084930630523,-0.029565704500543674
2026-04-30,0.16035981639058067,-0.10837061216265935
2026-05-31,0.10853469727585102,-0.048917184297965904
